"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-10"	"OBEN"	"UNTEN"	1	1	15139	TRUE	6512	5579	6179	4296	900	0	900	"outside"	""	"outside"	2032	14123	0	6728	7395	14123	6728	6479	13207	850	0	683	683	550	583	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-7"	"OBEN"	"OBEN"	2	1	15129	TRUE	6296	5896	3864	3864	1216	0	1216	"outside"	""	"outside"	1216	14090	400	3965	9725	13690	3399	9725	13124	783	849	650	982	749	16	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D1"	"OBJ-2"	"UNTEN"	"UNTEN"	3	1	12071	FALSE	5397	5397	5397	5397	0	4580	4580	""	"outside"	"outside"	4580	13757	0	3780	9977	13757	3580	9977	13557	400	534	632	816	650	865	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-4"	"UNTEN"	"UNTEN"	4	1	15117	TRUE	4196	2464	1882	1449	433	783	783	"outside"	"outside"	"outside"	1982	14074	1066	5080	7928	13008	5080	7761	12841	832	500	866	517	417	867	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-5"	"OBEN"	"OBEN"	5	1	15118	TRUE	6446	4714	1782	1499	1499	0	1499	"outside"	""	"outside"	1883	10425	1016	6179	3230	9409	6179	3230	9409	166	1132	368	0	500	816	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D2"	"OBJ-11"	"UNTEN"	"OBEN"	6	1	8928	TRUE	1699	1166	916	733	0	749	749	""	"outside"	"outside"	999	13325	0	5114	7128	12242	5114	7128	12242	733	850	799	882	0	167	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D1"	"OBJ-1"	"OBEN"	"OBEN"	7	2	15135	TRUE	8006	3946	1132	1132	1133	283	1133	"outside"	"outside"	"outside"	1133	13356	1399	4497	7327	11824	4497	7144	11641	333	1065	832	599	683	683	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-8"	"UNTEN"	"UNTEN"	8	2	15150	TRUE	3013	1749	683	683	0	699	699	""	"outside"	"outside"	699	10726	450	1982	8294	10276	1982	6627	8609	800	766	466	750	466	0	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D2"	"OBJ-12"	"OBEN"	"UNTEN"	9	2	8222	FALSE	1183	1183	1183	1183	1200	0	1200	"outside"	""	"outside"	1200	12660	0	2299	10261	12560	2299	10261	12560	33	650	517	683	783	417	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-6"	"UNTEN"	"UNTEN"	10	2	6657	FALSE	816	816	816	816	0	816	816	""	"timecriterion"	"timecriterion"	816	13242	300	3132	9227	12359	3132	9227	12359	50	150	966	116	184	850	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-9"	"UNTEN"	"OBEN"	11	2	9025	FALSE	2515	2265	2515	2265	250	2298	2298	"outside"	"outside"	"outside"	2598	13791	0	5712	7929	13641	5712	7929	13641	167	1382	600	950	833	133	TRUE	TRUE	TRUE
"36"	"M"	"288"	"Exp6"	"Rec36"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-3"	"OBEN"	"OBEN"	12	2	10171	FALSE	833	650	833	650	683	0	683	"outside"	""	"outside"	683	6943	1149	1182	4429	5611	1182	4429	5611	516	884	832	0	0	616	TRUE	TRUE	TRUE
