"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-10"	"UNTEN"	"UNTEN"	1	1	15135	TRUE	6226	4796	4929	4129	183	799	799	"outside"	"outside"	"outside"	1366	14139	0	8993	3831	12824	8993	3614	12607	549	883	883	1049	867	749	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-2"	"OBEN"	"UNTEN"	2	1	15169	FALSE	7879	4797	7879	2598	800	0	800	"outside"	""	"outside"	1533	4181	0	2282	1899	4181	2282	1899	4181	0	600	0	0	0	0	FALSE	TRUE	FALSE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D2"	"OBJ-15"	"OBEN"	"OBEN"	3	1	8232	FALSE	3899	2150	3899	2150	783	0	783	"outside"	""	"outside"	2998	10311	350	5131	4830	9961	4931	4830	9761	549	333	516	599	817	0	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-12"	"UNTEN"	"UNTEN"	4	1	15158	TRUE	6598	5398	5930	2881	233	2265	2265	"outside"	"outside"	"outside"	3198	10560	0	3398	7162	10560	3398	6995	10393	416	0	483	600	0	450	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-13"	"OBEN"	"OBEN"	5	1	8826	FALSE	2933	1933	2933	1933	833	300	833	"outside"	"outside"	"outside"	1183	8194	0	5829	2365	8194	5829	2365	8194	200	0	83	483	950	899	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-3"	"UNTEN"	"OBEN"	6	1	15128	TRUE	6402	5252	3698	2815	0	750	750	""	"outside"	"outside"	2948	11077	0	4947	6130	11077	4864	5947	10811	267	0	0	883	450	650	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-9"	"OBEN"	"OBEN"	7	2	8208	FALSE	3549	2732	3549	2732	2782	0	2782	"outside"	""	"outside"	3348	12644	0	5896	6748	12644	5896	6748	12644	250	167	600	650	367	317	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D2"	"OBJ-16"	"UNTEN"	"UNTEN"	8	2	10042	FALSE	4797	3165	4797	3165	150	2598	2598	"outside"	"outside"	"outside"	4447	7628	1765	1599	3365	4964	1449	3115	4564	50	0	0	150	883	716	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"COM"	"NO"	1	"D1"	"OBJ-1"	"UNTEN"	"OBEN"	9	2	8493	FALSE	3363	2764	3363	2764	0	516	516	""	"outside"	"outside"	3081	8959	0	4713	3946	8659	4713	3946	8659	617	466	816	83	0	767	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-11"	"OBEN"	"OBEN"	10	2	8756	FALSE	4031	3698	4031	3698	3731	0	3731	"timecriterion"	""	"timecriterion"	4114	5682	634	1732	3099	4831	1732	2882	4614	933	217	0	0	166	100	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-4"	"OBEN"	"UNTEN"	11	2	15150	FALSE	2515	1982	2515	1982	932	0	932	"outside"	""	"outside"	2465	11609	0	2531	7412	9943	2531	7412	9943	0	616	501	266	200	517	TRUE	TRUE	TRUE
"22"	"M"	"276"	"Exp4"	"Rec22"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-14"	"UNTEN"	"UNTEN"	12	2	9774	FALSE	3663	3480	3663	3480	0	1666	1666	""	"outside"	"outside"	1666	11173	0	6127	4896	11023	6127	4896	11023	815	50	800	832	783	782	TRUE	TRUE	TRUE
