"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-10"	"OBEN"	"UNTEN"	1	1	15128	TRUE	7450	7300	5113	5113	1882	149	1882	"outside"	"outside"	"outside"	1882	12277	0	9778	700	10478	9778	700	10478	966	850	400	832	849	0	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-7"	"OBEN"	"OBEN"	2	1	15134	TRUE	4895	4895	3613	3613	4130	0	4130	"outside"	""	"outside"	4130	6981	1583	3165	1983	5148	3165	1583	4748	783	150	99	67	0	0	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-2"	"UNTEN"	"UNTEN"	3	1	15142	TRUE	8461	8328	2349	2349	0	733	733	""	"outside"	"outside"	2549	13323	3364	3448	6511	9959	3448	6245	9693	666	933	316	933	865	966	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-4"	"UNTEN"	"UNTEN"	4	1	15137	TRUE	5062	3730	3780	1033	616	1033	1033	"outside"	"outside"	"outside"	1649	6712	2715	3664	0	3664	3664	0	3664	700	0	400	167	799	0	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-5"	"OBEN"	"OBEN"	5	1	15142	TRUE	4647	4580	1632	1632	667	0	667	"outside"	""	"outside"	1882	4714	2332	1416	966	2382	1416	966	2382	583	301	200	0	0	0	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-11"	"UNTEN"	"OBEN"	6	1	15139	TRUE	2166	2166	333	333	0	333	333	""	"outside"	"outside"	333	3980	0	2248	150	2398	2248	150	2398	333	150	0	0	0	0	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-1"	"OBEN"	"OBEN"	7	2	15145	TRUE	1066	1066	450	450	1382	0	1382	"outside"	""	"outside"	1382	6829	1149	2581	2982	5563	2581	2982	5563	882	833	966	0	0	0	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-8"	"UNTEN"	"UNTEN"	8	2	6875	FALSE	932	649	932	649	0	649	649	""	"outside"	"outside"	649	6648	2349	1417	2665	4082	1417	2665	4082	366	200	0	0	0	584	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-12"	"OBEN"	"UNTEN"	9	2	13851	TRUE	4098	4098	2432	2432	2449	0	2449	"outside"	""	"outside"	2449	2949	0	383	1649	2032	383	1649	2032	0	0	0	0	716	0	TRUE	FALSE	FALSE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-6"	"UNTEN"	"UNTEN"	10	2	15132	TRUE	3048	3048	2465	2465	0	2066	2066	""	"outside"	"outside"	2798	6348	1732	800	3699	4499	800	3699	4499	467	283	0	0	150	284	TRUE	TRUE	TRUE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-9"	"UNTEN"	"OBEN"	11	2	14578	FALSE	1466	900	1466	900	0	916	916	""	"outside"	"outside"	1566	2649	0	0	2116	2116	0	1816	1816	0	0	0	0	683	0	TRUE	FALSE	FALSE
"24"	"F"	"278"	"Exp6"	"Rec24"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-3"	"OBEN"	"OBEN"	12	2	15138	TRUE	5213	4996	916	916	933	0	933	"outside"	""	"outside"	933	5462	499	0	4963	4963	0	4963	4963	800	183	133	0	0	33	TRUE	TRUE	TRUE
