"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-9"	"UNTEN"	"OBEN"	1	1	15152	TRUE	5632	3999	3817	2517	0	1816	1816	""	"outside"	"outside"	2498	10759	0	6113	4496	10609	6113	4346	10459	233	383	817	700	883	0	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-3"	"OBEN"	"OBEN"	2	1	15135	TRUE	4397	3630	3281	2714	1249	0	1249	"outside"	""	"outside"	2415	14059	0	7780	6279	14059	7780	5780	13560	700	117	799	566	700	933	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-8"	"UNTEN"	"UNTEN"	3	1	11398	FALSE	5163	2948	5163	1865	0	1082	1082	""	"outside"	"outside"	2898	13556	417	4180	8627	12807	4180	8627	12807	534	749	799	715	699	217	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-5"	"OBEN"	"OBEN"	4	1	15141	TRUE	7196	5647	5579	4213	1382	0	1382	"outside"	""	"outside"	2382	14324	0	7961	6363	14324	7961	6196	14157	816	800	383	1032	915	866	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D2"	"OBJ-12"	"OBEN"	"UNTEN"	5	1	15120	TRUE	4966	3049	3499	2582	1399	350	1399	"outside"	"outside"	"outside"	3831	14275	0	10927	3348	14275	10927	3348	14275	316	516	17	2382	383	682	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-2"	"UNTEN"	"UNTEN"	6	1	15157	TRUE	3930	2331	3747	766	0	533	533	""	"outside"	"outside"	533	14257	0	8344	5913	14257	8344	5913	14257	916	0	833	833	466	400	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-6"	"UNTEN"	"UNTEN"	7	2	15144	TRUE	5363	4497	1315	832	482	866	866	"outside"	"outside"	"outside"	866	13408	0	8227	5031	13258	8227	5031	13258	100	815	583	649	966	849	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D2"	"OBJ-11"	"UNTEN"	"OBEN"	8	2	15142	FALSE	900	333	900	333	0	333	333	""	"outside"	"outside"	900	12390	0	4630	7760	12390	4313	7760	12073	483	865	466	166	50	382	TRUE	TRUE	TRUE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-1"	"OBEN"	"OBEN"	9	2	15150	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-7"	"OBEN"	"OBEN"	10	2	15118	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-4"	"UNTEN"	"UNTEN"	11	2	15144	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE
"38"	"M"	"283"	"Exp2"	"Rec38"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-10"	"OBEN"	"UNTEN"	12	2	15122	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE
